Open,Close,High,Low,ATR,EMA_fast,EMA_slow,RSI
177.325,177.25,179.35,176.76,3.5346748025322805,180.52104542896882,183.18200000000004,29.80808820186264
176.96,177.3,178.99,176.57,3.3754355450276714,179.93540080551995,182.58450000000005,30.073980735388723
173.32,175.43,175.77,173.11,3.491801895738004,179.11623702269813,181.95300000000003,25.9837322216384
172.41,172.99,173.895,171.69,3.5272587677754332,178.00237574584392,181.33900000000003,21.704101467434768
171.09,171.84,172.4183,170.52,3.3762218009503715,176.88194379205413,180.59700000000004,19.980720044212394
173.13,171.56,173.3794,171.275,3.194532972243175,175.9143176480443,179.82500000000005,19.56053744713426
173.98,174.2,174.71,173.45,3.1881711190655793,175.60262353021804,179.33700000000005,34.08265694611373
176.39,175.16,176.39,174.94,3.0455752449133535,175.52214652472384,178.8445,38.564003685619845
173.0,175.05,175.24,172.58,2.9904930670685883,175.4363017020468,178.35100000000003,38.23308058160882
171.71,172.69,172.925,170.4201,3.2246940574873646,174.93697411985647,177.685,31.740274150248194
171.99,172.07,173.1383,171.7991,2.955337763560595,174.4157060980644,177.09100000000004,30.241179460036697
173.16,172.07,173.21,171.47,2.7817180830519397,173.9892140802345,176.52900000000005,30.241179460036697
173.62,172.57,174.06,171.0,2.8214726426159484,173.73117515655548,175.96800000000005,33.374137183863056
173.85,173.75,174.59,172.17,2.7641194079565294,173.73459785536357,175.60750000000004,40.39380120071417
173.02,173.555,174.03,171.9,2.6735309211055958,173.70194369984293,175.25675000000004,39.627187071372624
173.05,171.77,173.54,171.6,2.570883646661941,173.35068120896238,174.95425000000003,33.215603060773915
172.48,173.5,173.85,172.11,2.500757411424519,173.37783008006014,174.66875000000002,43.125226375602224
170.975,173.57,174.3,170.76,2.649220638363876,173.41277006550374,174.36825000000005,43.502124246720584
164.89,165.79,167.04,164.31,3.5936176900261785,172.02681187177578,173.61025000000004,23.92385709235438
